Metric,Period type,Period,Policy type,Issue,Task type,Task,Location,Market,Result
Proactive removal rate,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Pakistan,0.982
Proactive removal rate,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Peru,0.985
Proactive removal rate,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Philippines,0.984
Proactive removal rate,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Poland,0.964
Proactive removal rate,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Romania,0.965
Proactive removal rate,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Saudi Arabia,0.986
Proactive removal rate,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Somalia,0.989
Proactive removal rate,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,South Africa,0.984
Proactive removal rate,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Spain,0.987
Proactive removal rate,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Switzerland,0.969
Proactive removal rate,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Taiwan,0.941
Proactive removal rate,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Thailand,0.954
Proactive removal rate,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Turkey,0.99
Proactive removal rate,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Ukraine,0.8140000000000001
Proactive removal rate,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,United Arab Emirates,0.968
Proactive removal rate,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,United Kingdom,0.975
Proactive removal rate,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,United States,0.943
Proactive removal rate,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Venezuela,0.98
Proactive removal rate,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Vietnam,0.856
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,All,All,0.882
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Algeria,0.911
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Argentina,0.973
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Australia,0.484
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Azerbaijan,0.898
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Bangladesh,0.988
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Brazil,0.931
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Cambodia,0.962
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Canada,0.8440000000000001
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Chile,0.968
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Colombia,0.955
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Dominican Republic,0.952
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Ecuador,0.96
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Egypt,0.968
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,France,0.804
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Germany,0.624
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Indonesia,0.981
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Iraq,0.977
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Israel,0.773
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Italy,0.973
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Japan,0.87
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Kazakhstan,0.853
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Laos,0.715
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Lebanon,0.812
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Libya,0.936
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Malaysia,0.813
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Mexico,0.947
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Morocco,0.909
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Myanmar,0.987
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Nepal,0.758
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Netherlands,0.94
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Nigeria,0.725
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Pakistan,0.863
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Peru,0.965
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Philippines,0.958
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Poland,0.918
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Romania,0.915
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Saudi Arabia,0.939
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Somalia,0.969
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,South Africa,0.8059999999999999
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Spain,0.95
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Switzerland,0.95
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Taiwan,0.934
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Thailand,0.95
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Turkey,0.964
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Ukraine,0.895
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,United Arab Emirates,0.938
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,United Kingdom,0.789
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,United States,0.599
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Venezuela,0.959
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Policy,Integrity & Authenticity,All,All,Market,Vietnam,0.8859999999999999
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,All,All,0.965
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Brazil,0.998
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Cambodia,1.0
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Indonesia,1.0
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Italy,1.0
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Malaysia,1.0
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Mexico,0.984
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Nigeria,0.999
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Philippines,1.0
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Thailand,0.975
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Turkey,1.0
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,United States,0.769
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,All,All,0.933
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Brazil,0.999
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Cambodia,1.0
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Indonesia,0.998
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Italy,0.998
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Malaysia,0.997
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Mexico,0.995
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Nigeria,0.998
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Philippines,0.997
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Thailand,0.992
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Turkey,0.999
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,United States,0.435
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,All,All,0.987
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Brazil,0.999
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Cambodia,1.0
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Indonesia,1.0
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Italy,1.0
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Malaysia,1.0
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Mexico,0.984
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Nigeria,0.999
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Philippines,1.0
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Thailand,0.973
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Turkey,1.0
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,United States,0.966
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,task_type,Human moderation,All,All,0.016
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,task_type,Human moderation,Market,United States,0.0579999999999999
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,All,All,0.1639999999999999
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Brazil,0.215
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Nigeria,0.129
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Philippines,0.341
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,United Kingdom,0.166
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,United States,0.158
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,All,All,0.736
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Bangladesh,0.7
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Brazil,0.745
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Cambodia,0.638
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Canada,0.8859999999999999
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Egypt,0.762
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,France,0.71
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Germany,0.784
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Indonesia,0.778
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Italy,0.688
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Laos,0.467
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Mexico,0.652
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Nigeria,0.637
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Pakistan,0.72
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Philippines,0.8740000000000001
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Saudi Arabia,0.517
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Thailand,0.578
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Turkey,0.6829999999999999
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,United Kingdom,0.7170000000000001
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,United States,0.856
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Vietnam,0.61
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,All,All,0.893
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Bangladesh,0.898
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Brazil,0.932
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Cambodia,0.923
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Canada,0.974
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Egypt,0.973
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,France,0.942
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Germany,0.8959999999999999
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Indonesia,0.922
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Italy,0.892
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Laos,0.986
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Mexico,0.931
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Nigeria,0.746
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Pakistan,0.8909999999999999
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Philippines,0.964
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Saudi Arabia,0.888
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Spain,0.959
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Thailand,0.932
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Turkey,0.923
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,United Kingdom,0.944
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,United States,0.89
Proactive removal rate,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Vietnam,0.7929999999999999
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,All,All,0.369
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Algeria,1.0
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Bangladesh,1.0
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Brazil,0.176
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Cambodia,1.0
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Canada,0.6459999999999999
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Egypt,1.0
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,France,0.165
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Germany,0.2
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Indonesia,0.301
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Italy,0.115
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Kazakhstan,1.0
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Laos,1.0
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Mexico,0.604
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Morocco,1.0
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Netherlands,0.493
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Nigeria,0.573
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Pakistan,0.422
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Philippines,0.84
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Poland,0.263
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Saudi Arabia,1.0
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Spain,0.1159999999999999
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Thailand,0.413
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Turkey,0.685
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,United Kingdom,0.5720000000000001
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,United States,0.325
Category share,Quarterly,Jul-Sep 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,task_type,Human moderation,Market,Vietnam,1.0
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,All,All,0.743
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Argentina,0.852
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Australia,0.439
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Brazil,0.7979999999999999
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Chile,0.8079999999999999
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Colombia,0.753
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Dominican Republic,0.7809999999999999
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Ecuador,0.7759999999999999
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,France,0.82
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Germany,0.429
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Indonesia,0.629
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Italy,0.838
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Malaysia,0.643
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Mexico,0.843
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Nepal,0.31
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Netherlands,0.8590000000000001
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Nigeria,0.7929999999999999
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Pakistan,0.778
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Peru,0.805
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Philippines,0.802
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Poland,0.7090000000000001
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Romania,0.757
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,South Africa,0.815
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Spain,0.76
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Thailand,0.917
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Turkey,0.919
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Ukraine,0.594
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,United Kingdom,0.698
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,United States,0.655
Removal rate before any views,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,Market,Venezuela,0.823
Removal rate within 24 hours,Quarterly,Jul-Sep 2023,Sub-policy,Misinformation,All,All,All,All,0.67
